PropertyAddress,Latitude,Longitude,
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"B-1/12 Safdarjung Enclave, New Delhi, India",28.564714,77.189328,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"DDA Park, Noida, India",28.59947,77.31283,doubt
"B3/2 Sara Mathew Street, New Delhi, India",28.56476,77.19143,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Plaza Market, Noida, India",28.60096,77.316236,doubt
"Front field, New Delhi, India",28.540912,77.20126,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. B-4/18 BASEMENT,Safdarjung Enclave",failed,failed,failed
"4th Cross Road, New Delhi, India",28.573929,77.196518,doubt
"House No. A1/159 SF,Safdarjung Enclave",failed,failed,failed
"27, DDA Market No. 3 Chittaranjan Park (CR Park), New Delhi, India",28.540795,77.24322,success
"B-13 Vasundhara Enclave, Noida, India",28.597968,77.315135,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Block - C, Noida, India",28.598115,77.315428,doubt
"DDA Park, Noida, India",28.59947,77.31283,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. PROP NO 30 IN BLK B-7/EXTN,Safdarjung Enclave",failed,failed,failed
"House No. B-6/37 EXTN SF,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. B-6/37 EXTN TERRACE OF SF,Safdarjung Enclave",failed,failed,failed
"B-13 Vasundhara Enclave, Noida, India",28.597968,77.315135,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. 14 BLOCK-B-4,Safdarjung Enclave",failed,failed,failed
"SFS Category 1 Flats Park, New Delhi, India",28.5385,77.217563,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"118 NIT, New Delhi, India",28.566848,77.199053,doubt
"House No. B-2/8, Road No. EXTN,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"5th Cross Road, New Delhi, India",28.573017,77.194501,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"B3/2 Sara Mathew Street, New Delhi, India",28.56476,77.19143,doubt
"Block - C, Noida, India",28.598115,77.315428,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"A & M's Beauty Salon, New Delhi, India",28.542441,77.225453,doubt
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,doubt
"House No. B-5/189 BASEMENT FLOOR,Safdarjung Enclave",failed,failed,failed
"House No. B-2/3 PORTION SF,Safdarjung Enclave",failed,failed,failed
"House No. B-6/86 SF,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. B-3/38 ENTIRE TF WITH TERRACE,Safdarjung Enclave",failed,failed,failed
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"Road No. 1, New Delhi, India",28.539886,77.241226,success
"House No. B-6/18 SF,Safdarjung Enclave",failed,failed,failed
